Medallion,HackLicense,VendorID,RateCode,StoreAndFwdFlag,PickupDateTime,DropoffDateTime,PassengerCount,TripTimeInSecs,TripDistance,PickupLongitude,PickupLatitude,DropoffLongitude,DropoffLatitude,PaymentType,FareAmount,Surcharge,MtaTax,TollsAmount,TotalAmount,TipAmount,Tipped,TipClass
A10A65AFD9F401BF3BDB79C84D3549E7,44E6FAE6BE783C8AB1C622CA0A58CF57,CMT,1,N  ,3/28/2013 23:03,3/28/2013 23:06,4,226,0.8,-73.961578,40.716507,-73.951355,40.723774,CRD,5,0.5,0.5,0,7.1,1.1,1,1
57A63E815A54CD2D6FF73A1D24B89BFE,EC0C6B14422CDB1C2F6EBCA3FB000E26,CMT,1,N  ,4/6/2013 21:54,4/6/2013 22:10,2,987,5.5,-73.870506,40.77375,-73.796165,40.765224,CSH,18.5,0.5,0.5,0,19.5,0,0,0
CB3CB29937460506B59A5359D8E30BB1,4E93DC02E3B5D6EDFF0F6384C901BCA0,VTS,1,""""" ",7/27/2013 0:31,7/27/2013 0:46,1,900,4.11,-73.993301,40.73848,-73.976189,40.788319,CRD,14.5,0.5,0.5,0,17.5,2,1,1
1633486D60A75753024F4F7B8CFFF881,1BA19E9814104120B45CDFF1B6B172D6,CMT,1,N  ,2/28/2013 23:58,3/1/2013 0:02,1,262,2.2,-73.975533,40.740948,-73.954758,40.769264,CRD,8,0.5,0.5,0,10,1,1,1
256F2A84DA6B3A2CE241CD9CBB2C351E,46BAB5B52CACD9493513EC5D70D901E5,VTS,1,""""" ",10/16/2013 14:39,10/16/2013 15:13,1,2040,9.48,-73.873116,40.774055,-73.988281,40.761543,CSH,33,0,0.5,5.33,38.83,0,0,0
D4B46DA9EB329F33914399E8A1C9CDDB,158790E2BDEB52A969BD925CF116CE3E,VTS,1,""""" ",1/9/2013 21:13,1/9/2013 21:18,6,300,1.34,-73.994781,40.725861,-74.00473,40.714756,CRD,6.5,0.5,0.5,0,9.25,1.75,1,1
3E0D2F6FB6D140A9D3F0A40EB3216906,7CED377711C400F8DDF188DA298594C8,VTS,1,""""" ",5/10/2013 3:42,5/10/2013 4:00,1,1080,2.66,-74.006363,40.739799,-73.985466,40.761055,CRD,14,0.5,0.5,0,19.35,4.35,1,1
03669FD5D1F17360C04C6415AF4173CE,FC9FDDE6920B3D040E73B6E56E109B57,VTS,1,""""" ",4/12/2013 9:13,4/12/2013 9:21,1,480,0.63,-73.933197,40.744801,-73.958488,40.764359,CSH,6,0,0.5,0,6.5,0,0,0
C4FE2221BD53BC3C391B9427BC1D9BC8,1F433C862AF07FF2661750667CFC2D81,VTS,1,""""" ",4/9/2013 20:47,4/9/2013 20:52,6,300,1.6,-73.976906,40.751736,-73.981354,40.734112,CSH,6.5,0.5,0.5,0,7.5,0,0,0
E776F78289E128BF43879FC328881DEF,BF2BA3B0EE247F4ECB52E83C1B9A9FA6,CMT,1,N  ,1/1/2013 1:21,1/1/2013 1:35,2,831,3.8,-73.990349,40.714088,-73.967239,40.760845,CSH,13.5,0.5,0.5,0,14.5,0,0,0
E2214C4F27A108FD90DBA830B6DA7FD8,3C702CCB8C56E9D075A4EC7C354C8CC7,VTS,1,""""" ",1/23/2013 8:22,1/23/2013 8:29,2,420,1.18,-73.979424,40.781864,-73.966415,40.789928,CSH,7,0,0.5,0,7.5,0,0,0
C451867E85FEC15C41E6B781CD51BE55,3592D10148EBCF1458B57288E0862429,CMT,1,N  ,10/31/2013 22:03,10/31/2013 22:20,2,1049,3,-73.987358,40.775188,-74.001526,40.739346,CRD,13.5,0.5,0.5,0,16.5,2,1,1
6E80B49CDA301F79199DB7CC5356BF18,5336C83160417251D358689784291E5E,CMT,1,N  ,3/24/2013 17:55,3/24/2013 18:04,2,575,2,-73.983253,40.756561,-73.98893,40.734966,CRD,9,0,0.5,0,11.4,1.9,1,1
6BEAF45CCE44A1741556F13477B42A56,7920F7FA5A0BBEC8E87499445610BCCB,CMT,1,N  ,10/30/2013 22:34,10/30/2013 22:44,1,604,1.8,-73.979156,40.741108,-74.002434,40.733692,CRD,9,0.5,0.5,0,12,2,1,1
180EAF8CAD67959EC7BA02D8B2375F8B,590240CB05E308B5A087D059795AC5AD,VTS,1,""""" ",9/24/2013 18:39,9/24/2013 18:49,1,600,1.12,-73.975502,40.777046,-73.982361,40.765057,CSH,8,1,0.5,0,9.5,0,0,0
357D8F7FFACB5A5547BA6F2F4F29A1D9,FEEB4AC1B831705A3992F9099501EA97,VTS,1,""""" ",5/28/2013 17:20,5/28/2013 17:36,1,960,3.94,-73.990402,40.765709,-73.952301,40.808556,CSH,15,1,0.5,0,16.5,0,0,0
F041A9070DB4ABFE5AA4E376EC6F85E3,D28171994A597156AD407D3BC374B899,VTS,1,""""" ",2/22/2013 23:05,2/22/2013 23:10,6,300,0.71,-73.982018,40.778919,-73.982124,40.769169,CRD,5.5,0.5,0.5,0,7.7,1.2,1,1
38EEEFFA8B43D12849A9512CE1E56A37,EE79C26823011718D8F6DDC4C1F404F2,CMT,5,N  ,7/18/2013 1:54,7/18/2013 1:55,1,33,4.8,-74.03746,40.752964,-74.03746,40.752979,CRD,50,0,0,0,50,0,0,0
DF02E8BC25548C931BC0D59DE1F6B7B6,D6A45FF106CAEB2AA0A4CDC603EAB8F8,CMT,1,N  ,6/18/2013 8:14,6/18/2013 8:25,1,694,1.8,-73.987381,40.73259,-74.005661,40.748325,CRD,10,0,0.5,0,12.6,2.1,1,1
FDBBD26BE134E0557CB277EFDFC8BC0F,26F5B0FC13EFFF5005CA618F14B5B7FE,VTS,1,""""" ",9/21/2013 11:41,9/21/2013 11:44,1,180,0.59,-74.0009,40.741966,-73.995644,40.749077,CSH,4.5,0,0.5,0,5,0,0,0
2BFCF8BBABA7FE609990C0FAFFB44508,D3CFACAAC5B245F1A2D09791D9AF43F6,CMT,1,N  ,8/9/2013 11:15,8/9/2013 11:26,1,644,1.5,-73.987389,40.747025,-73.99263,40.762657,CRD,9,0,0.5,0,10.51,1.01,1,1
22908753E00888CC219C875C8D5BC4F6,A751E0E1593F95BC462BA113AAD12FE6,CMT,1,N  ,5/16/2013 5:09,5/16/2013 5:12,1,149,1,-73.947639,40.779305,-73.937569,40.793201,CSH,5,0.5,0.5,0,6,0,0,0
438FF269BBBCB9398C1432C656BFE323,E519AB3E638CED1F6A1C27613E029B2F,VTS,1,""""" ",5/6/2013 10:12,5/6/2013 10:27,1,900,1.12,-73.963402,40.766991,-73.974274,40.756954,CSH,9.5,0,0.5,0,10,0,0,0
9942485368EAA9E9EB577DCE616A1EF3,4190E948A1F7A36B2ADDD55BABF749E5,VTS,1,""""" ",6/18/2013 0:43,6/18/2013 0:52,1,540,2.38,-73.970482,40.79409,-73.944817,40.81369,CSH,9.5,0.5,0.5,0,10.5,0,0,0
EE368FBD217ED27BD2DE4BF09DA9E470,15462C57FB365E01D9EE7EB0945C6E4F,CMT,1,N  ,6/21/2013 19:22,6/21/2013 19:42,3,1159,3.4,-73.957123,40.770668,-73.989296,40.726547,CSH,15,1,0.5,0,16.5,0,0,0
5BBE5DAFEA2C2194F7EB447A0BD3EF91,C1EF9BF1F7B015415B3579E8D2C9CCB0,VTS,1,""""" ",5/29/2013 14:26,5/29/2013 14:33,2,420,1.24,-73.973328,40.748909,-73.985893,40.748829,CSH,6.5,0,0.5,0,7,0,0,0
1CB11F79ADE9BBE680486933450ACDE6,D84A06C936074233783C62D756DA2239,CMT,1,N  ,9/22/2013 17:19,9/22/2013 17:30,1,632,2.9,-73.984192,40.775162,-73.960831,40.811752,CSH,11,0,0.5,0,11.5,0,0,0
1D8BA9964502F2C37B6DDE73AB69E66D,518FDBFB7FF5F0129C89A03D28807F28,CMT,1,N  ,10/8/2013 17:49,10/8/2013 18:10,2,1233,4.6,-73.980804,40.747814,-73.956825,40.712837,CRD,18.5,1,0.5,0,25,5,1,1
6EDD2CB0979CD9025DA2ED2F91ADA297,8898FD3E5130147201FD9B268A2C7BCF,CMT,1,N  ,3/29/2013 18:00,3/29/2013 18:11,2,680,2,-73.960747,40.818256,-73.969589,40.793602,CRD,10,1,0.5,0,13.3,1.8,1,1
48F05BE75E597686D01DA2F5B91F6D34,AC63EF04544273ADC1679C151EEDB48E,CMT,1,N  ,12/16/2013 12:53,12/16/2013 13:03,1,600,1.6,-73.97747,40.745419,-73.991341,40.731922,CSH,8.5,0,0.5,0,9,0,0,0
B7C3A1C10F973348B29930BB21BA4F25,BBB3596593CF9767F01966CA7750FE13,VTS,5,""""" ",2/7/2013 19:52,2/7/2013 20:27,1,2100,5.96,-73.977249,40.751862,-74.037216,40.731159,CRD,60,0,0.5,0,60.5,0,0,0
B1DA0569F2A0F8D6F3D745B4812648FC,60980D60AE17A11D8C4E5C088E9E8972,CMT,1,N  ,3/26/2013 12:54,3/26/2013 13:04,2,650,1.7,-73.996277,40.723946,-74.005775,40.740223,CRD,9.5,0,0.5,0,12,2,1,1
25543063A418CEEBB75EE2F4D358CFF5,194EB4D4E0FC4B729E7CFAE0D0A4C1A2,VTS,1,""""" ",8/14/2013 9:31,8/14/2013 9:38,1,420,0.98,-73.961197,40.769974,-73.968513,40.759895,CRD,7,0,0.5,0,9.25,1.75,1,1
E1D6302C1BAB9004D26F92803001DE50,C30A3C51505853B6A607197ACC3A66A7,CMT,1,N  ,7/8/2013 17:17,7/8/2013 17:24,1,434,1,-73.987976,40.738148,-73.991295,40.748974,CSH,6.5,1,0.5,0,8,0,0,0
EF9C8C5CBDC67FFF33367714161530ED,FEC96C5B732D7B16F8A37B80F45EEB9C,VTS,1,""""" ",3/20/2013 22:18,3/20/2013 22:21,6,180,0.52,-73.985207,40.742069,-73.986496,40.737209,CRD,4.5,0.5,0.5,0,6.75,1.25,1,1
F23C9F9D405D742185C49BCC0214D6BE,0572FF55F79461517BC675CF2BF4F7C8,CMT,1,N  ,11/17/2013 15:07,11/17/2013 15:59,1,3122,14.9,-74.00563,40.740723,-73.789116,40.696495,CRD,48.5,0,0.5,5.33,54.33,0,0,0
37C3E7EADFDAE6F3C28E38014B27BEC7,B60F484B9E7B63F1B1F6BE90A68B8915,CMT,1,N  ,5/10/2013 20:05,5/10/2013 20:15,1,597,1.1,-73.982956,40.756496,-73.986305,40.74601,CRD,8,0.5,0.5,0,10,1,1,1
13993464AC85D42D66FC51B38BA6BFA5,6ED0B04EB22A2EB62BAEA7C9CFF73A30,CMT,1,N  ,12/28/2013 0:18,12/28/2013 0:24,2,390,0.7,-73.980515,40.750843,-73.990227,40.757298,CSH,6,0.5,0.5,0,7,0,0,0
F7597DFF9A201BB2E175C5DB2D22FBC0,E4F5BC21235260DDCDCD150977F2098A,VTS,1,""""" ",11/9/2013 0:08,11/9/2013 0:13,4,300,1.64,-73.973854,40.789295,-73.954788,40.79987,CRD,7,0.5,0.5,0,9,1,1,1
B245E7212D96AC3159BC7BC771948699,8540CBF9B4EBE79BA4D92AE65362C77C,CMT,1,N  ,12/15/2013 18:05,12/15/2013 18:10,1,332,0.6,-73.977173,40.755733,-73.979286,40.749405,CSH,5.5,0,0.5,0,6,0,0,0
FF2F8AB4ECBC4859813819E5A42BD3A9,4B67AD57FF97494C3783391147D090C6,CMT,1,N  ,12/11/2013 10:44,12/11/2013 11:02,2,1083,3.3,-74.012611,40.714401,-73.994499,40.750561,CRD,15.5,0,0.5,0,20.8,4.8,1,1
BBB124191F0054E6B7B56BEA6A485E3F,C58863FE26966DFF6251AFAA5C565123,CMT,1,N  ,3/23/2013 18:50,3/23/2013 19:03,1,745,2.8,-73.9963,40.74332,-73.982353,40.76902,CRD,11.5,0,0.5,0,14.4,2.4,1,1
8EFE467A2378D86F5E932D16D0BAD84D,CBD8A03A70A6495B5F330D982D502B41,CMT,1,N  ,10/26/2013 5:11,10/26/2013 5:12,1,41,0,-73.951256,40.749409,-73.950264,40.750187,CSH,2.5,0.5,0.5,0,3.5,0,0,0
4802A2C85AB0903596B94FE1288B1BC0,36C9437BD2FF31940BEBED44DDDDDB8A,CMT,1,N  ,4/12/2013 21:44,4/12/2013 21:51,1,414,1.4,-73.978729,40.741001,-73.998863,40.739662,CRD,7,0.5,0.5,0,10,2,1,1
1F037A24370C1935783D89EF7872CEF0,3CBECD60E90950EDBCF0F71A9105DF03,CMT,1,N  ,11/19/2013 20:12,11/19/2013 20:25,1,738,2.1,-73.972351,40.749577,-73.998322,40.740486,CRD,10.5,0.5,0.5,0,13,1.5,1,1
0D3E065CABB56819FE3318E7033101AD,160328592DE54EF7F8966E7BAA70CBF3,VTS,1,""""" ",6/18/2013 0:17,6/18/2013 0:25,1,480,3.23,-73.985924,40.730984,-73.953987,40.707932,CRD,11,0.5,0.5,0,14,2,1,1
BA23B42321A082F1170C91B809497574,DDD647B734C30A83A5AF70E878EC6AD6,VTS,1,""""" ",12/26/2013 20:28,12/26/2013 20:40,1,720,1.24,-73.982063,40.762566,-73.977272,40.750252,CSH,8.5,0.5,0.5,0,9.5,0,0,0
B4B73C7B5D426BF5D77586628774409D,6EF0D8C2C4E2652B976E3A02685B7C16,CMT,1,N  ,8/20/2013 9:09,8/20/2013 9:12,1,223,0.8,-74.007935,40.715569,-74.008736,40.725998,CRD,5,0,0.5,0,6.6,1.1,1,1
C49F0C6AF8D91BEE37F87242E5B8A988,A13C624D680FADCFBB3DAD9E275A46D8,CMT,1,N  ,2/2/2013 4:52,2/2/2013 5:05,3,789,4.8,-74.005058,40.741028,-73.991371,40.744633,CRD,15.5,0.5,0.5,0,19.8,3.3,1,1
5A4F4A695E9C36CF44FDA5DE85158196,25AABD31FEC6225F2815A9A3CB0F3E45,VTS,1,""""" ",9/8/2013 3:46,9/8/2013 4:03,5,1020,9.97,-73.989403,40.719704,-73.923302,40.76181,CRD,29.5,0.5,0.5,0,33.5,3,1,1
123707F35B6C29F9154A1980F16DF5EC,1DB9D687684956F866AA084C26318DD2,VTS,1,""""" ",10/21/2013 15:12,10/21/2013 15:17,4,300,1.04,-74.000404,40.737526,-74.000496,40.747768,CRD,6,0,0.5,0,7.5,1,1,1
AA7B4CA4CC55A100043C45715DA8AA1A,F489666E239E842367DC124C056B6F65,VTS,1,""""" ",4/11/2013 18:48,4/11/2013 18:58,1,600,0.65,-73.989296,40.730099,-73.999435,40.734161,CRD,7.5,1,0.5,0,10.7,1.7,1,1
AE124FC3210EE986C339A4C4FB225F4C,7D6E15E48EFBA4BF6B04DC4647059725,CMT,1,N  ,8/25/2013 13:00,8/25/2013 13:08,1,463,1.6,-74.0028,40.744671,-74.007591,40.726395,CRD,7.5,0,0.5,0,11,3,1,1
0CC08DE5645A7137059499EA11886805,CE200874F2FF74030C0EC22A50A9E536,CMT,1,N  ,9/13/2013 10:35,9/13/2013 11:06,1,1837,3.9,-73.982513,40.764805,-73.993484,40.726372,CSH,20.5,0,0.5,0,21,0,0,0
2E4D263673E21CA98F433E274FA9277B,DBA0D421DD1EDF9F8CABC3B02B83CD27,VTS,1,""""" ",5/31/2013 10:11,5/31/2013 10:19,1,480,1.54,-73.979736,40.761677,-73.963356,40.769268,CSH,7.5,0,0.5,0,8,0,0,0
B30FA013B11CC4468ECF4E507E0A35C1,E924E1113ABF4B34F0BE14A17581EFC6,CMT,1,N  ,3/2/2013 15:22,3/2/2013 15:34,1,728,4.2,-73.976028,40.744522,-74.007416,40.710358,CRD,14.5,0,0.5,0,18,3,1,1
4003B8478418FEC5D761E2F37602769B,0B766F1054A5C16D86BC023858BD8143,CMT,1,N  ,3/17/2013 4:28,3/17/2013 4:31,2,201,0.7,-73.987206,40.747684,-73.994164,40.747128,CSH,4.5,0.5,0.5,0,5.5,0,0,0
C237C9E9AB5AEDBA8845205C06281BFE,01D84C91190757916BCFDB532A29280E,VTS,1,""""" ",4/17/2013 19:07,4/17/2013 19:17,5,600,1.96,-73.969383,40.763088,-73.94696,40.776127,CSH,9,1,0.5,0,10.5,0,0,0
A5C6F0FC150417517C2894400795B1F8,E797DBBC58060C06225AEAD35B8EE39A,VTS,1,""""" ",9/2/2013 17:22,9/2/2013 17:27,1,300,1.09,-73.986038,40.746311,-73.987099,40.733582,CRD,5.5,0,0.5,0,7,1,1,1
0856152BFC50F70F2E220BF94C1DD3B6,23AC6CB9463C5D10ACC46C8FB214ABC3,CMT,1,N  ,12/8/2013 5:02,12/8/2013 5:05,1,178,0.7,-73.997925,40.746014,-73.99472,40.755241,CSH,4.5,0.5,0.5,0,5.5,0,0,0
A8611EB948B0A72CA0E9E4B4A39FFE30,2AEE87A6564DF51C4F58F643A85B886D,VTS,1,""""" ",11/21/2013 13:10,11/21/2013 13:50,5,2400,4.29,-73.992638,40.74984,-73.952255,40.781052,CRD,25,0,0.5,0,30.5,5,1,1
484312362F4F9127F7D3487A4171E3B7,51FA2754B2154831D21F6C8D1C770464,VTS,2,""""" ",4/15/2013 21:36,4/15/2013 21:43,1,420,1.32,-73.975693,40.748817,-73.978928,40.762047,CRD,52,0,0.5,5.33,68.23,10.4,1,3
055431BCEB77AE6040AA0A327ACC6FB6,271AAB355A93A0BE031253462EDD65F7,VTS,1,""""" ",12/8/2013 18:58,12/8/2013 19:06,6,480,1.67,-73.964325,40.756546,-73.955925,40.776047,CRD,8,0,0.5,0,10.1,1.6,1,1
282E5C4DA6D0AFBB018350A5252D875E,64949E412A93B921B2185B1AABCA7190,CMT,1,N  ,7/25/2013 6:36,7/25/2013 6:48,1,736,4,-74.008888,40.713837,-73.975372,40.761581,CRD,13.5,0,0.5,0,15,1,1,1
66F5C36965F1B95CA42B5A90244E857B,CF289061B8F12C099846C98D04FFC39E,CMT,1,N  ,6/17/2013 10:01,6/17/2013 10:10,1,499,1.6,-73.982697,40.735512,-74.002953,40.728661,CRD,8,0,0.5,0,9.75,1.25,1,1
0F449C02CA769AE4E6CA5283C794CC8E,DBB721D1910849638B9D9B719F99670B,CMT,1,N  ,3/10/2013 0:55,3/10/2013 1:03,1,475,1.1,-73.999428,40.717709,-73.988564,40.727444,CRD,7,0.5,0.5,0,10,2,1,1
AFDBA8CB4AE1DA7D1247DD7F3308B4B4,BE20D4884D036FA389E5F8C109F6517A,VTS,1,""""" ",12/14/2013 9:50,12/14/2013 9:57,1,420,0.84,-73.986221,40.730282,-73.989983,40.738384,CSH,6.5,0,0.5,0,7,0,0,0
FA2A19DCADA38CC619C150106B3BF4A7,2C7EB1D14EC46B47604DEA5479AFCFAD,CMT,1,N  ,3/11/2013 20:05,3/11/2013 20:21,1,916,3.1,-73.984856,40.742722,-73.976845,40.777561,CSH,13,0.5,0.5,0,14,0,0,0
D6F4084E378FAE7EBB2CA55FDEF1F162,82B27199FD48DE808F382732AF40A9C9,VTS,1,""""" ",10/5/2013 0:56,10/5/2013 1:01,1,300,0.62,-74.001869,40.735264,-74.006485,40.73859,CRD,4.5,0.5,0.5,0,6.5,1,1,1
7AEDBAE4248FC3109A0A1132FA6829B9,5978955495603618B29C106AF0EBB7AC,VTS,1,""""" ",2/6/2013 19:20,2/6/2013 19:43,5,1380,2.5,-73.990585,40.760937,-73.995529,40.721485,CRD,15,1,0.5,0,20.5,4,1,1
E4B39B12C8E694B48BDC5F4DC1F6A134,856107C44289EA2EA53B878016C79BE0,VTS,1,""""" ",4/14/2013 2:08,4/14/2013 2:18,1,600,2.96,-73.952766,40.777149,-73.987595,40.765411,CRD,11,0.5,0.5,0,13,1,1,1
07A0A68365AC8905157956356A804271,DFB27514EB017E70170F1848B7B219EC,VTS,1,""""" ",10/20/2013 11:13,10/20/2013 11:24,1,660,1.43,-73.992348,40.743633,-73.994003,40.756638,CRD,9,0,0.5,0,11.3,1.8,1,1
133F5411638617AE260B643954683602,284FCBEECF897129A1C0B2CB39627076,CMT,2,N  ,6/9/2013 19:53,6/9/2013 20:39,2,2756,18.4,-73.98732,40.746944,-73.782417,40.648796,CSH,52,0,0.5,0,52.5,0,0,0
2A8A409638073727423494DC17E89B75,7356659DFDD022D4678C1892721B905F,VTS,1,""""" ",8/12/2013 19:49,8/12/2013 19:53,1,240,0.84,-73.971283,40.760857,-73.961472,40.766827,CSH,5,1,0.5,0,6.5,0,0,0
1234202037D11E950671CB664AEE157A,30617274A50C970CC7BDE8F8127897A8,CMT,1,N  ,6/21/2013 7:51,6/21/2013 7:55,1,254,1.4,-73.980049,40.785934,-73.965202,40.801132,CSH,6,0,0.5,0,6.5,0,0,0
D4E65A3649FB55239F67FB12A60AC4A5,B73D208CE3E0B07C8D43427D9F49BD08,CMT,1,N  ,8/21/2013 13:10,8/21/2013 13:25,1,900,1.3,-74.00293,40.739189,-73.990372,40.755966,CRD,10.5,0,0.5,0,13.2,2.2,1,1
FA169C743FB23E07F564CD44A28748EF,BE4699E8FC8B9018935936643050E98E,VTS,1,""""" ",11/18/2013 8:36,11/18/2013 8:56,1,1200,2.43,-73.952309,40.781368,-73.974815,40.757317,CSH,14,0,0.5,0,14.5,0,0,0
FB84C95C217D345556E3B14EA6D63E5C,C2C19146502A25DD1CF5E69A4CEFEAE3,VTS,1,""""" ",5/17/2013 12:09,5/17/2013 12:17,1,480,0.98,-73.990479,40.733036,-73.982819,40.744289,CSH,6.5,0,0.5,0,7,0,0,0
0D69FB9685364A087E9C22D074463A93,10B482B8CB60455718F2FB55D0CF0527,VTS,1,""""" ",3/5/2013 11:20,3/5/2013 11:26,5,360,0.98,-73.991356,40.717056,-73.980415,40.721966,CRD,6,0,0.5,0,8,1.5,1,1
24F814E3BE6D104DA7857A7842688BF2,A7113D69FBC50C81E0BA88DBCEF176CA,VTS,1,""""" ",4/12/2013 17:01,4/12/2013 17:10,1,540,1.29,-73.978104,40.737942,-73.976845,40.751968,CSH,7.5,1,0.5,0,9,0,0,0
8E073E22EBD4CC66578D6CC3EA2279E9,A9821AE7070142A6D18700F2A459367B,CMT,1,N  ,2/15/2013 14:59,2/15/2013 15:22,1,1383,3.9,-74.010025,40.720123,-73.975441,40.763226,CRD,16.5,0,0.5,0,20.4,3.4,1,1
BAAC72BF93F2D99F9DC0CD38CB53F96D,F76F6EEA4316F1C8AA483E89700D29CF,VTS,1,""""" ",10/5/2013 18:48,10/5/2013 18:54,2,360,0.61,-73.979477,40.735592,-73.986801,40.740398,CSH,6,0,0.5,0,6.5,0,0,0
96B76B1D309ABA3A99EF3D6D8079A34C,BA51135FD21B95AA88EA2E6977FFF03D,CMT,1,N  ,10/30/2013 14:08,10/30/2013 14:14,2,358,1.1,-73.960907,40.780891,-73.972672,40.790047,CSH,6.5,0,0.5,0,7,0,0,0
AD9A55BC575D9809295FD5916FB8215C,B18AE329A24F4030CA1D8D89E11CC6E7,CMT,1,N  ,9/13/2013 21:07,9/13/2013 21:24,1,1022,2.8,-74.002533,40.730137,-73.970856,40.752617,CSH,13,0.5,0.5,0,14,0,0,0
5E0B383D28FED871EE676915DBA6BCFD,AA1FA765AAF4B38CED89E78223A8F3AE,VTS,1,""""" ",10/6/2013 20:06,10/6/2013 20:21,1,900,2.28,-73.973534,40.783752,-73.966949,40.760822,CRD,11.5,0.5,0.5,0,15.5,3,1,1
D7D905C58B59346320E8E881A08945C0,D0D38DB15D36B6E1C9BBBB28A0026A48,VTS,1,""""" ",12/27/2013 10:26,12/27/2013 10:38,1,720,2.24,-73.973694,40.784409,-73.959389,40.763786,CRD,10.5,0,0.5,0,12,1,1,1
01BD10395EF30144C3731CF21ECFB2E1,1E5C036074BE721C176519B74E120564,VTS,1,""""" ",12/7/2013 18:22,12/7/2013 18:46,2,1440,4.7,-73.9561,40.779224,-73.988548,40.737495,CRD,19.5,0,0.5,0,24.88,4.88,1,1
A3F2562998085F1B8FBAAD9BDCFE4034,C6A403DD0A6EBF4162635CDAEC09791B,CMT,1,N  ,8/26/2013 22:49,8/26/2013 22:55,1,377,2.2,-73.973747,40.679016,-73.949234,40.659485,CRD,8.5,0.5,0.5,0,11.87,2.37,1,1
EF081C9F6B489EC18EDBF2861BE64137,11A2194437944DCDE3F5AAFE6099C804,VTS,1,""""" ",9/12/2013 19:46,9/12/2013 19:57,6,660,0.99,-73.994629,40.750481,-73.983635,40.758011,CSH,8,1,0.5,0,9.5,0,0,0
4835BF968E58A8C152C3B4557FE55564,92FAACF453F2589DAFD4CE61590FDE4D,VTS,1,""""" ",12/20/2013 9:59,12/20/2013 10:35,5,2160,10.94,-73.86277,40.768745,-73.982689,40.779076,CSH,35,0,0.5,0,35.5,0,0,0
8CF4B518EC0C6CBAB5029339B5E3A918,6F5AB62599C1D8DDDC1957D4766608CC,CMT,1,N  ,4/11/2013 21:36,4/11/2013 21:57,1,1277,5.6,-73.964127,40.808121,-73.979553,40.744541,CSH,20,0.5,0.5,0,21,0,0,0
